NO_DISTRITO,CO_DISTRITO
Poço Branco,241010805
Portalegre,241020705
Porto do Mangue,241025605
Serra Caiada,241030605
Pureza,241040505
Rafael Fernandes,241050405
Rafael Godeiro,241060305
Riacho da Cruz,241070205
Riacho de Santana,241080105
Riachuelo,241090005
Rodolfo Fernandes,241100705
Tibau,241105605
Ruy Barbosa,241110605
Santa Cruz,241120505
Santana do Matos,241140305
Barão de Serra Branca,241140310
Santa Teresa,241140320
São José da Passagem,241140325
Santana do Seridó,241142905
Santo Antônio,241150205
São Bento do Norte,241160105
São Bento do Trairí,241170005
São Fernando,241180905
São Francisco do Oeste,241190805
São Gonçalo do Amarante,241200505
São João do Sabugi,241210405
São José de Mipibu,241220305
São José do Campestre,241230205
São José do Seridó,241240105
São Miguel,241250005
São Miguel do Gostoso,241255905
São Paulo do Potengi,241260905
São Pedro,241270805
São Rafael,241280705
São Tomé,241290605
São Vicente,241300305
Senador Elói de Souza,241310205
Senador Georgino Avelino,241320105
Serra de São Bento,241330005
Serra do Mel,241335905
Serra Negra do Norte,241340905
Serrinha,241350805
Serrinha dos Pintos,241355705
Severiano Melo,241360705
Sítio Novo,241370605
Serra da Tapuia,241370610
Taboleiro Grande,241380505
Taipu,241390405
Tangará,241400105
Tenente Ananias,241410005
Mata de São Braz,241410010
Tenente Laurentino Cruz,241415905
Tibau do Sul,241420905
Timbaúba dos Batistas,241430805
Touros,241440705
Triunfo Potiguar,241445605
Umarizal,241450605
Upanema,241460505
Várzea,241470405
Venha-Ver,241475305
Vera Cruz,241480305
Viçosa,241490205
Vila Flor,241500805
Água Branca,250010605
Aguiar,250020505
Alagoa Grande,250030405
Alagoa Nova,250040305
Alagoinha,250050205
Alcantil,250053605
Algodão de Jandaíra,250057705
Alhandra,250060105
São João do Rio do Peixe,250070005
Amparo,250073405
Aparecida,250077505
Araçagi,250080905
Arara,250090805
Araruna,250100505
Areia,250110405
Cepilho,250110410
Mata Limpa,250110415
Muquém,250110420
Areia de Baraúnas,250115305
Areial,250120305
Aroeiras,250130205
Pedro Velho,250130220
Assunção,250135105
Baía da Traição,250140105
Bananeiras,250150005
Maia,250150010
Taboleiro,250150020
Baraúna,250153405
Barra de Santana,250157505
Barra de Santa Rosa,250160905
Barra de São Miguel,250170805
Bayeux,250180705
Belém,250190605
Rua Nova,250190610
Belém do Brejo do Cruz,250200305
Bernardino Batista,250205205
Boa Ventura,250210205
Boa Vista,250215105
Bom Jesus,250220105
Bom Sucesso,250230005
Bonito de Santa Fé,250240905
Boqueirão,250250805
Igaracy,250260705
Borborema,250270605
Brejo do Cruz,250280505
Brejo dos Santos,250290405
Caaporã,250300105
Cupissura,250300115
Cabaceiras,250310005
Cabedelo,250320905
Renascer,250320925
Cachoeira dos Índios,250330805
Fátima,250330815
São José de Marimbas,250330820
Cacimba de Areia,250340705
Cacimba de Dentro,250350605
Cacimbas,250355505
São Sebastião,250355510
Caiçara,250360505
Cajazeiras,250370405
Engenheiro Ávidos,250370410
Cajazeirinhas,250375305
Caldas Brandão,250380305
Camalaú,250390205
Pindurão,250390210
Campina Grande,250400905
Catolé,250400915
Galante,250400920
São José da Mata,250400925
Capim,250403305
Olho D'Água do Serrão,250403315
Caraúbas,250407405
Carrapateira,250410805
Casserengue,250415705
Catingueira,250420705
Itajubatiba,250420710
Catolé do Rocha,250430605
Coronel Maia,250430610
Caturité,250435505
Conceição,250440505
Montevidéo,250440515
Condado,250450405
Conde,250460305
Jacumã,250460316
Congo,250470205
Coremas,250480105
Coxixola,250485005
Cruz do Espírito Santo,250490005
Cubati,250500605
Cuité,250510505
Melo,250510510
Cuitegi,250520405
Cuité de Mamanguape,250523805
Curral de Cima,250527905
Curral Velho,250530305
Damião,250535205
Desterro,250540205
Vista Serrana,250550105
Diamante,250560005
Vazante,250560010
Dona Inês,250570905
Duas Estradas,250580805
Emas,250590705
Esperança,250600405
Fagundes,250610305
Frei Martinho,250620205
Gado Bravo,250625105
Guarabira,250630105
Cachoeira,250630110
Gurinhém,250640005
Gurjão,250650905
Ibiara,250660805
Imaculada,250670705
Palmeira,250670715
Ingá,250680605
Pontina,250680607
Itabaiana,250690505
Campo Grande,250690510
Itaporanga,250700205
Itapororoca,250710105
Itatuba,250720005
Jacaraú,250730905
Timbó,250730910
Jericó,250740805
João Pessoa,250750705
Juarez Távora,250760605
Juazeirinho,250770505
Junco do Seridó,250780405
Juripiranga,250790305
Juru,250800005
Lagoa,250810905
Lagoa de Dentro,250820805
Lagoa Seca,250830705
Lastro,250840605
Livramento,250850505
Logradouro,250855405
Lucena,250860405
Praia de Fagundes,250860415
Mãe d'Água,250870305
Malta,250880205
Mamanguape,250890105
Pitanga da Estrada,250890125
Manaíra,250900805
Pelo Sinal,250900810
Marcação,250905705
Camurupim,250905710
Mari,250910705
Marizópolis,250915605
Massaranduba,250920605
Mataraca,250930505
Barra de Camaratuba,250930510
Matinhas,250933905
Mato Grosso,250937005
Maturéia,250939605
Mogeiro,250940405
Montadas,250950305
Monte Horebe,250960205
Monteiro,250970105
Mulungu,250980005
Natuba,250990905
Pirauá,250990910
Nazarezinho,251000605
Nova Floresta,251010505
Nova Olinda,251020405
Nova Palmeira,251030305
Olho d'Água,251040205
Olivedos,251050105
Ouro Velho,251060005
Parari,251065905
Passagem,251070905
Patos,251080805
Santa Gertrudes,251080810
Paulista,251090705
Ipueiras,251090707
Mimoso,251090710
Pedra Branca,251100405
Pedra Lavrada,251110305
Pedras de Fogo,251120205
Piancó,251130105
Picuí,251140005
Pilar,251150905
Pilões,251160805
Pilõezinhos,251170705
Pirpirituba,251180605
Pitimbu,251190505
Pocinhos,251200205
Nazaré,251200210
Poço Dantas,251203605
Poço de José de Moura,251207705
Pombal,251210105
Prata,251220005
Princesa Isabel,251230905
Puxinanã,251240805
Queimadas,251250705
Quixaba,251260605
Remígio,251270505
Pedro Régis,251272105
Riachão,251274705
Riachão do Bacamarte,251275405
Riachão do Poço,251276205
Riacho de Santo Antônio,251278805
Riacho dos Cavalos,251280405
Rio Tinto,251290305
Salema,251290320
Salgadinho,251300005
São José da Batalha,251300030
Salgado de São Félix,251310905
Dois Riachos,251310907
Santa Cecília,251315805
Santa Cruz,251320805
Santa Helena,251330705
Santa Inês,251335605
Santa Luzia,251340605
Santana de Mangueira,251350505
Santana dos Garrotes,251360405
Joca Claudino,251365305
Santa Rita,251370305
Nossa Senhora do Livramento,251370310
Santa Teresinha,251380205
Santo André,251385105
São Bento,251390105
São Bentinho,251392705
São Domingos do Cariri,251394305
São Domingos,251396805
São Francisco,251398405
São João do Cariri,251400805
São João do Tigre,251410705
Santa Maria,251410710
São José da Lagoa Tapada,251420605
São José de Caiana,251430505
São José de Espinharas,251440405
São José dos Ramos,251445305
São José de Piranhas,251450305
São José de Princesa,251455205
São José do Bonfim,251460205
São José do Brejo do Cruz,251465105
São José do Sabugi,251470105
São José dos Cordeiros,251480005
São Mamede,251490905
São Miguel de Taipu,251500505
São Sebastião de Lagoa de Roça,251510405
São Sebastião do Umbuzeiro,251520305
Sapé,251530205
Seridó,251540105
São Vicente do Seridó,251540110
Serra Branca,251550005
Santa Luzia do Cariri,251550015
Sucuru,251550020
Serra da Raiz,251560905
Serra Grande,251570805
Serra Redonda,251580705
Serraria,251590605
Sertãozinho,251593005
Sobrado,251597105
Solânea,251600305
Soledade,251610205
Bom Sucesso,251610210
Sossêgo,251615105
Sousa,251620105
Sumé,251630005
Pio X,251630015
Tacima,251640905
Taperoá,251650805
Tavares,251660705
Teixeira,251670605
Tenório,251675505
Triunfo,251680505
Uiraúna,251690405
Umbuzeiro,251700105
Mata Virgem,251700110
Várzea,251710005
Vieirópolis,251720905
Zabelê,251740705
Abreu e Lima,260005405
Distrito Industrial,260005410
Afogados da Ingazeira,260010405
Afrânio,260020305
Arizona,260020310
Cachoeira do Roberto,260020315
Poção de Afrânio,260020320
Agrestina,260030205
Barra do Jardim,260030215
Água Preta,260040105
Santa Terezinha,260040110
Águas Belas,260050005
Curral Novo,260050010
Alagoinha,260060905
Perpétuo Socorro,260060910
Aliança,260070805
Macujê,260070810
Tupaoca,260070815
Upatininga,260070820
Altinho,260080705
Ituguaçu,260080710
Amaraji,260090605
Angelim,260100305
Araçoiaba,260105205
Araripina,260110205
Gergelim,260110208
Lagoa do Barro,260110210
Morais,260110215
Nascente,260110220
Bom Jardim do Araripe,260110225
Serrânia,260110230
Arcoverde,260120105
Barra de Guabiraba,260130005
Barreiros,260140905
Carimã,260140910
Belém de Maria,260150805
Batateira,260150810
Belém de São Francisco,260160705
Ibó,260160710
Riacho Pequeno,260160715
Belo Jardim,260170605
Água Fria,260170610
Serra do Vento,260170615
Xucuru,260170620
Betânia,260180505
São Caetano do Navio,260180510
Bezerros,260190405
Boas Novas,260190410
Sapucarana,260190415
Bodocó,260200105
Claranã,260200110
Feitoria,260200115
Bom Conselho,260210005
Barra do Brejo,260210010
Caldeirões,260210015
Lagoa de São José,260210020
Rainha Isabel,260210025
Bom Jardim,260220905
Bizarra,260220910
Encruzilhada,260220913
Tamboatá,260220915
Umari,260220920
Bonito,260230805
Bentevi,260230810
Alto Bonito,260230815
Brejão,260240705
Brejinho,260250605
Brejo da Madre de Deus,260260505
Barra do Farias,260260507
Fazenda Nova,260260510
Mandaçaia,260260520
São Domingos,260260530
Buenos Aires,260270405
Buíque,260280305
Carneiro,260280310
Catimbau,260280315
Guanumbi,260280320
Cabo de Santo Agostinho,260290205
Juçaral,260290210
Ponte dos Carvalhos,260290215
Santo Agostinho,260290220
Cabrobó,260300905
Cachoeirinha,260310805
Cabanas,260310810
Caetés,260320705
Calçado,260330605
Calumbi,260340505
Camaragibe,260345405
Camocim de São Félix,260350405
Camutanga,260360305
Canhotinho,260370205
Olho d'Água de Dentro,260370210
Paquevira,260370215
Capoeiras,260380105
Carnaíba,260390005
Ibitiranga,260390010
Carnaubeira da Penha,260392605
Carpina,260400705
Caruaru,260410605
Lajedo do Cedro,260410620
Casinhas,260415505
Catende,260420505
Laje Grande,260420510
Cedro,260430405
Chã de Alegria,260440305
Chã Grande,260450205
Condado,260460105
Correntes,260470005
Poço Comprido,260470010
Cortês,260480905
Cumaru,260490805
Ameixas,260490810
Cupira,260500405
Custódia,260510305
Maravilha,260510310
Quitimbu,260510315
Dormentes,260515205
Caatinga Grande,260515210
Lagoas,260515218
Monte Orebe,260515220
Escada,260520205
Frexeiras,260520210
Exu,260530105
Tabocas,260530110
Timorante,260530115
Viração,260530120
Zé Gomes,260530125
Feira Nova,260540005
Fernando de Noronha,260545905
Ferreiros,260550905
Flores,260560805
Fátima,260560808
Sítio dos Nunes,260560810
Floresta,260570705
Airi,260570710
Nazaré do Pico,260570720
Frei Miguelinho,260580605
Lagoa de João Carlos,260580610
Gameleira,260590505
Cuiambuca,260590510
José da Costa,260590515
Garanhuns,260600205
Iratama,260600210
São Pedro,260600215
Miracica,260600220
Glória do Goitá,260610105
Apoti,260610110
Goiana,260620005
Ponta de Pedras,260620010
Tejucopapo,260620015
Granito,260630905
Gravatá,260640805
Mandacaru,260640810
Uruçu-Mirim,260640815
Iati,260650705
Ibimirim,260660605
Moxotó,260660610
Ibirajuba,260670505
Igarassu,260680405
Nova Cruz,260680420
Três Ladeiras,260680425
Iguaracy,260690305
Irajaí,260690310
Jabitacá,260690315
Inajá,260700005
Ingazeira,260710905
Ipojuca,260720805
Camela,260720810
Nossa Senhora do Ó,260720815
Ipubi,260730705
Serra Branca,260730710
Serrolândia,260730715
Itacuruba,260740605
Itaíba,260750505
Negras,260750515
Ilha de Itamaracá,260760405
Itambé,260765305
Caricé,260765310
Ibiranga,260765315
Itapetim,260770305
São Vicente,260770310
Itapissuma,260775205
Itaquitinga,260780205
Jaboatão dos Guararapes,260790105
Cavaleiro,260790110
Jaboatão,260790115
Curado,260790120
Jardim Jordão,260790125
Jaqueira,260795005
Jataúba,260800805
Jacu,260800807
Jundiá,260800808
Passagem do Tó,260800810
Riacho do Meio,260800820
Jatobá,260805705
Volta do Moxotó,260805720
João Alfredo,260810705
Joaquim Nabuco,260820605
Jucati,260825505
Jupi,260830505
Jurema,260840405
Santo Antônio das Queimadas,260840410
Lagoa do Carro,260845305
Lagoa de Itaenga,260850305
Lagoa do Ouro,260860205
Igapó,260860210
Lagoa dos Gatos,260870105
Entroncamento,260870110
Igarapeassu,260870115
Lagoa do Souza,260870120
Lagoa Grande,260875005
Jutaí,260875015
Vermelho,260875020
Lajedo,260880005
Limoeiro,260890905
Urucuba,260890910
Macaparana,260900605
Machados,260910505
Manari,260915405
Maraial,260920405
Sertãozinho de Baixo,260920415
Mirandiba,260930305
Tupanaci,260930310
Moreno,260940205
Bonança,260940210
Nazaré da Mata,260950105
Olinda,260960005
Orobó,260970905
Chã do Rocha,260970910
Umburetama,260970915
Orocó,260980805
Ouricuri,260990705
Barra de São Pedro,260990710
Palmares,261000405
Santo Antônio dos Palmares,261000410
Palmeirina,261010305
Panelas,261020205
Cruzes,261020210
São José,261020215
São Lázaro,261020220
Paranatama,261030105
Parnamirim,261040005
Icaiçara,261040010
Veneza,261040015
Passira,261050905
Bengalas,261050910
Paudalho,261060805
Paulista,261070705
Pedra,261080605
Horizonte Alegre,261080607
Poço do Boi,261080609
São Pedro do Cordeiro,261080610
Santo Antônio,261080615
Pesqueira,261090505
Cimbres,261090510
Mimoso,261090515
Mutuca,261090520
Papagaio,261090525
Salobro,261090530
Petrolândia,261100205
Petrolina,261110105
Cristália,261110110
Rajada,261110130
Poção,261120005
Pombos,261130905
Dois Leões,261130910
Nossa Senhora do Carmo,261130915
Primavera,261140805
Quipapá,261150705
Pau Ferro,261150710
Quixaba,261153305
Lagoa da Cruz,261153310
Recife,261160605
Riacho das Almas,261170505
Couro d'Antas,261170510
Pinhões,261170512
Trapiá,261170515
Vitorino,261170520
Ribeirão,261180405
José Mariano,261180415
Rio Formoso,261190305
Cocaú,261190310
Sairé,261200005
Salgadinho,261210905
Salgueiro,261220805
Conceição das Crioulas,261220810
Umãs,261220815
Vasques,261220820
Pau Ferro,261220825
Saloá,261230705
Iatecá,261230710
Sanharó,261240605
Jenipapo,261240610
Mulungu,261240615
Santa Cruz,261245505
Santa Cruz da Baixa Verde,261247105
Santa Cruz do Capibaribe,261250505
Pará,261250510
Poço Fundo,261250515
Santa Filomena,261255405
Livramento,261255425
Santa Maria da Boa Vista,261260405
Caraíbas,261260408
Urimamã,261260425
Santa Maria do Cambucá,261270305
Santa Terezinha,261280205
São Benedito do Sul,261290105
Igarapeba,261290110
São Bento do Una,261300805
Espírito Santo,261300810
São Caitano,261310705
Maniçoba,261310710
Tapiraim,261310715
São João,261320605
São Joaquim do Monte,261330505
Santana de São Joaquim,261330515
São José da Coroa Grande,261340405
São José do Belmonte,261350305
Bom Nome,261350310
Carmo,261350315
São José do Egito,261360205
Bonfim,261360210
Riacho do Meio,261360215
São Lourenço da Mata,261370105
Nossa Senhora da Luz,261370115
São Vicente Férrer,261380005
Siriji,261380010
Serra Talhada,261390905
Bernardo Vieira,261390910
Caiçarinha da Penha,261390915
Logradouro,261390918
Luanda,261390920
Pajeú,261390925
Santa Rita,261390928
Tauapiranga,261390930
Varzinha,261390935
Serrita,261400605
Ipuera,261400610
Ori,261400615
Sertânia,261410505
Albuquerque Né,261410510
Algodões,261410515
Henrique Dias,261410520
Rio da Barra,261410525
Sirinhaém,261420405
Barra do Sirinhaém,261420410
Ibiratinga,261420415
Moreilândia,261430305
Caririmirim,261430310
Solidão,261440205
Surubim,261450105
Chéus,261450112
Tabira,261460005
Tacaimbó,261470905
Riacho Fechado,261470910
Tacaratu,261480805
Caraibeiras,261480810
Tamandaré,261485705
Sauê,261485715
Taquaritinga do Norte,261500305
Gravatá do Ibiapina,261500310
Pão de Açucar,261500315
Terezinha,261510205
Terra Nova,261520105
Guarani,261520110
Timbaúba,261530005
Cruanji,261530010
Livramento do Tiúma,261530015
Toritama,261540905
Tracunhaém,261550805
Trindade,261560705
Triunfo,261570605
Canaã,261570610
Jericó,261570615
Tupanatinga,261580505
Tuparetama,261590405
Santa Rita,261590410
Venturosa,261600105
Grotão,261600110
Verdejante,261610005
Vertente do Lério,261618305
Vertentes,261620905
Vicência,261630805
Murupé,261630810
Vitória de Santo Antão,261640705
Pirituba,261640710
Xexéu,261650605
Água Branca,270010205
Anadia,270020105
Arapiraca,270030005
Atalaia,270040905
Barra de Santo Antônio,270050805
Barra de São Miguel,270060705
Batalha,270070605
Belém,270080505
Belo Monte,270090405
Boca da Mata,270100105
Branquinha,270110005
Cacimbinhas,270120905
Cajueiro,270130805
Campestre,270135705
Campo Alegre,270140705
Campo Grande,270150605
Canapi,270160505
Capela,270170405
Santa Efigênia,270170410
Carneiros,270180305
Chã Preta,270190205
Coité do Nóia,270200905
Colônia Leopoldina,270210805
Coqueiro Seco,270220705
Coruripe,270230605
Craíbas,270235505
Delmiro Gouveia,270240505
Dois Riachos,270250405
Estrela de Alagoas,270255305
Feira Grande,270260305
Feliz Deserto,270270205
Flexeiras,270280105
Girau do Ponciano,270290005
Ibateguara,270300705
Igaci,270310605
Igreja Nova,270320505
Inhapi,270330405
Jacaré dos Homens,270340305
Jacuípe,270350205
Japaratinga,270360105
Jaramataia,270370005
Jequiá da Praia,270375905
Joaquim Gomes,270380905
Jundiá,270390805
Junqueiro,270400505
Lagoa da Canoa,270410405
Limoeiro de Anadia,270420305
Maceió,270430205
Major Isidoro,270440105
Riacho do Sertão,270440110
Maragogi,270450005
Maravilha,270460905
Marechal Deodoro,270470805
Maribondo,270480705
Mar Vermelho,270490605
Mata Grande,270500205
Matriz de Camaragibe,270510105
Messias,270520005
Minador do Negrão,270530905
Monteirópolis,270540805
Murici,270550705
Novo Lino,270560605
Olho d'Água das Flores,270570505
Olho d'Água do Casado,270580405
Olho d'Água Grande,270590305
Olivença,270600005
Ouro Branco,270610905
Palestina,270620805
Palmeira dos Índios,270630705
Canafístula,270630715
Pão de Açúcar,270640605
Pariconha,270642205
Paripueira,270644805
Passo de Camaragibe,270650505
Paulo Jacinto,270660405
Penedo,270670305
Piaçabuçu,270680205
Pilar,270690105
Pindoba,270700805
Piranhas,270710705
Entremontes,270710710
Poço das Trincheiras,270720605
Porto Calvo,270730505
Porto de Pedras,270740405
Tatuamunha,270740410
Porto Real do Colégio,270750305
Quebrangulo,270760205
Rio Largo,270770105
Roteiro,270780005
Santa Luzia do Norte,270790905
Santana do Ipanema,270800605
Santana do Mundaú,270810505
Munguba,270810510
São Brás,270820405
São José da Laje,270830305
São José da Tapera,270840205
São Luís do Quitunde,270850105
São Miguel dos Campos,270860005
São Miguel dos Milagres,270870905
São Sebastião,270880805
Satuba,270890705
Senador Rui Palmeira,270895605
Tanque d'Arca,270900405
Taquarana,270910305
Teotônio Vilela,270915205
Traipu,270920205
União dos Palmares,270930105
Rocha Cavalcante,270930110
Viçosa,270940005
Anel,270940010
Amparo do São Francisco,280010005
Aquidabã,280020905
Aracaju,280030805
Arauá,280040705
Areia Branca,280050605
Barra dos Coqueiros,280060505
Boquim,280067005
Brejo Grande,280070405
Campo do Brito,280100905
Canhoba,280110805
Canindé de São Francisco,280120705
Capela,280130605
Barracas,280130610
Miranda,280130615
Pedras,280130620
Carira,280140505
Altos Verdes,280140510
Carmópolis,280150405
Cedro de São João,280160305
Cristinápolis,280170205
Cumbe,280190005
Divina Pastora,280200705
Estância,280210605
Feira Nova,280220505
Frei Paulo,280230405
Gararu,280240305
São Mateus da Palestina,280240315
General Maynard,280250205
Graccho Cardoso,280260105
Ilha das Flores,280270005
Indiaroba,280280905
Itabaiana,280290805
Itabaianinha,280300505
Itabi,280310405
Itaporanga d'Ajuda,280320305
Japaratuba,280330205
Japoatã,280340105
Lagarto,280350005
Laranjeiras,280360905
Macambira,280370805
Malhada dos Bois,280380705
Malhador,280390605
Maruim,280400305
Moita Bonita,280410205
Monte Alegre de Sergipe,280420105
Muribeca,280430005
Neópolis,280440905
Nossa Senhora Aparecida,280445805
Nossa Senhora da Glória,280450805
Nossa Senhora das Dores,280460705
Nossa Senhora de Lourdes,280470605
Nossa Senhora do Socorro,280480505
Pacatuba,280490405
Pedra Mole,280500005
Pedrinhas,280510905
Pinhão,280520805
Pirambu,280530705
Poço Redondo,280540605
Poço Verde,280550505
Porto da Folha,280560405
Propriá,280570305
Riachão do Dantas,280580205
Riachuelo,280590105
Ribeirópolis,280600805
Rosário do Catete,280610705
Salgado,280620605
Santa Luzia do Itanhy,280630505
Santana do São Francisco,280640405
Santa Rosa de Lima,280650305
Santo Amaro das Brotas,280660205
São Cristóvão,280670105
São Domingos,280680005
São Francisco,280690905
São Miguel do Aleixo,280700605
Simão Dias,280710505
Siriri,280720405
Telha,280730305
Tobias Barreto,280740205
Samambaia,280740210
Tomar do Geru,280750105
Umbaúba,280760005
Abaíra,290010805
Catolés,290010810
Abaré,290020705
Ibó,290020710
Acajutiba,290030605
Adustina,290035505
Água Fria,290040505
Pataíba,290040510
Érico Cardoso,290050405
Aiquara,290060305
Alagoinhas,290070205
Boa União,290070215
Riacho da Guia,290070220
Alcobaça,290080105
São José,290080125
Almadina,290090005
Amargosa,290100705
Corta Mão,290100710
Itachama,290100720
Amélia Rodrigues,290110605
Inhatá,290110610
Mata da Aliança,290110615
América Dourada,290115505
Belo Campo,290115510
Prevenido,290115515
Soares,290115520
Anagé,290120505
Coquinhos,290120510
Andaraí,290130405
Ubiraitá,290130420
Andorinha,290135305
Angical,290140305
Missão de Aricobé,290140315
Anguera,290150205
Antas,290160105
Antônio Cardoso,290170005
Oleiro,290170012
Poço,290170015
Santo Estevão Velho,290170020
Antônio Gonçalves,290180905
Aporá,290190805
Itamira,290190810
Apuarema,290195705
Aracatu,290200505
Araçás,290205405
Araci,290210405
Aramari,290220305
Arataca,290225205
Itatingui,290225210
Aratuípe,290230205
Maragogipinho,290230210
Aurelino Leal,290240105
Laje do Banco,290240110
Poço Central,290240115
Baianópolis,290250005
Várzeas,290250010
Baixa Grande,290260905
Banzaê,290265805
Barra,290270805
Igarité,290270820
Barra da Estiva,290280705
Triunfo do Sincorá,290280710
Barra do Choça,290290605
Barra Nova,290290610
Barra do Mendes,290300305
Antari,290300307
Minas do Espírito Santo,290300310
Barra do Rocha,290310205
Barreiras,290320105
Barro Alto,290323505
Lagoa do Boi,290323510
Lagoa Funda,290323515
Barrocas,290327605
Barro Preto,290330005
Belmonte,290340905
Boca do Córrego,290340910
Mogiquiçaba,290340915
Belo Campo,290350805
Biritinga,290360705
Boa Nova,290370605
Boa Vista do Tupim,290380505
Terra Boa,290380510
Bom Jesus da Lapa,290390405
Favelândia,290390407
Formoso,290390410
Bom Jesus da Serra,290395305
Água Bela,290395310
Boninal,290400105
Bastião,290400110
Bonito,290405005
Boquira,290410005
Bucuituba,290410010
Botuporã,290420905
Brejões,290430805
Brejolândia,290440705
Brotas de Macaúbas,290450605
Ouricuri do Ouro,290450610
Saudável,290450615
Brumado,290460505
Cristalândia,290460510
Itaquaraí,290460515
Ubiraçaba,290460520
Buerarema,290470405
Buritirama,290475305
Caatiba,290480305
Cabaceiras do Paraguaçu,290485205
Geolândia,290485210
Cachoeira,290490205
Belém da Cachoeira,290490210
Santiago do Iguape,290490215
Caculé,290500805
Caém,290510705
Caetanos,290515605
Alegre,290515610
Caldeirão,290515615
Caetité,290520605
Brejinho das Ametistas,290520610
Caldeiras,290520615
Maniaçu,290520625
Pajeú do Vento,290520630
Cafarnaum,290530505
Canal,290530510
Cairu,290540405
Galeão,290540410
Gamboa,290540415
Velha Boipeba,290540420
Caldeirão Grande,290550305
Camacan,290560205
São João do Panelinha,290560220
Camaçari,290570105
Abrantes,290570110
Monte Gordo,290570120
Camamu,290580005
Barcelos do Sul,290580010
Tapuia,290580020
Campo Alegre de Lourdes,290590905
Peixe,290590910
Campo Formoso,290600605
Laje dos Negros,290600615
Canápolis,290610505
Canarana,290620405
Paz de Salobro,290620420
Canavieiras,290630305
Ouricana,290630315
Poxim do Sul,290630320
Candeal,290640205
Candeias,290650105
Caboto,290650110
Caroba,290650115
Menino Jesus,290650125
Passagem dos Teixeiras,290650130
Passé,290650135
Candiba,290660005
Pilões,290660015
Cândido Sales,290670905
Lagoa Grande,290670915
Quaraçu,290670920
Cansanção,290680805
Canudos,290682405
Capela do Alto Alegre,290685705
Capim Grosso,290687305
Caraíbas,290689905
Vila Mariana,290689940
Caravelas,290690705
Juerana,290690710
Ponta da Areia,290690715
Santo Antônio de Barcelona,290690720
Cardeal da Silva,290700405
Carinhanha,290710305
Barra da Parateca,290710310
Casa Nova,290720205
Bem-Bom,290720210
Luís Viana,290720215
Pau a Pique,290720220
Sobrado,290720225
Castro Alves,290730105
Crussai,290730115
Petim,290730125
Sítio do Meio,290730130
Catolândia,290740005
Catu,290750905
Bela Flor,290750910
Sítio Novo,290750915
Caturama,290755805
Central,290760805
Chorrochó,290770705
Cícero Dantas,290780605
São João da Fortaleza,290780615
Cipó,290790505
Coaraci,290800205
Itamotinga,290800210
São Roque,290800220
Cocos,290810105
Conceição da Feira,290820005
Conceição do Almeida,290830905
Rio da Dona,290830915
Conceição do Coité,290840805
Bandiaçu,290840806
Joazeiro,290840808
São João,290840809
Salgadália,290840810
Aroeira,290840815
Conceição do Jacuípe,290850705
Conde,290860605
Condeúba,290870505
Contendas do Sincorá,290880405
Coração de Maria,290890305
Itacava,290890310
Retiro,290890330
Cordeiros,290900005
Coribe,290910905
Descoberto,290910910
Coronel João Sá,290920805
Correntina,290930705
São Manoel do Norte,290930710
Cotegipe,290940605
Jupaguá,290940610
Taguá,290940615
Cravolândia,290950505
Crisópolis,290960405
Buril,290960410
Cristópolis,290970305
Cruz das Almas,290980205
Curaçá,290990105
Barro Vermelho,290990110
Patamuté,290990115
Poço de Fora,290990120
Riacho Seco,290990125
Dário Meira,291000805
Dias d'Ávila,291005705
Dom Basílio,291010705
Dom Macedo Costa,291020605
Elísio Medrado,291030505
Monte Cruzeiro,291030510
Encruzilhada,291040405
Vila do Cafe,291040420
Entre Rios,291050305
Ibatuí,291050310
Subaúma,291050315
Esplanada,291060205
Palame,291060210
São José do Mucambo,291060220
Euclides da Cunha,291070105
Aribicé,291070107
Caimbé,291070109
Massacará,291070115
Eunápolis,291072705
Fátima,291075005
Feira da Mata,291077605
Ramalho,291077620
Feira de Santana,291080005
Bonfim da Feira,291080010
Humildes,291080015
Governador Dr. João Durval Carneiro,291080020
Jaguara,291080025
Jaíba,291080030
Maria Quitéria,291080035
Matinha,291080038
Tiquaruçu,291080040
Filadélfia,291085905
Firmino Alves,291090905
Itaiá,291090910
Floresta Azul,291100605
Formosa do Rio Preto,291110505
Gandu,291120405
Gavião,291125305
Gentio do Ouro,291130305
Gameleira do Assuruá,291130310
Ibitunane,291130315
Itajubaquara,291130320
Pituba,291130323
Santo Inácio,291130325
Glória,291140205
Gongogi,291150105
Tapirama,291150110
Governador Mangabeira,291160005
Guajeru,291165905
Guanambi,291170905
Ceraíma,291170910
Morrinhos,291170912
Mutãs,291170915
Guaratinga,291180805
Buranhém,291180810
Heliópolis,291185705
Iaçu,291190705
João Amaro,291190710
Lajedo Alto,291190715
Ibiassucê,291200405
Ibicaraí,291210305
Ibicoara,291220205
Cascavel,291220215
Ibicuí,291230105
Água Doce,291230110
Ibitupã,291230115
Ibipeba,291240005
Iguitu,291240010
Lagoa Grande,291240015
Mirorós,291240020
Ibipitanga,291250905
Ibiquera,291260805
Ibirapitanga,291270705
Ibirapuã,291280605
Ibirataia,291290505
Algodão,291290510
Ibitiara,291300205
Mocambo,291300208
Olhos d'Água do Seco,291300210
Ibititá,291310105
Feira Nova,291310130
Ibotirama,291320005
Boa Vista do Lagamar,291320010
Ichu,291330905
Igaporã,291340805
Igrapiúna,291345705
Iguaí,291350705
