NO_DISTRITO,CO_DISTRITO
Caratateua,150170915
Nova Mocajuba,150170920
Tijoca,150170930
Treme,150170940
Brasil Novo,150172505
Brejo Grande do Araguaia,150175805
Breu Branco,150178205
Breves,150180805
Antônio Lemos,150180810
Curumu,150180815
São Miguel dos Macacos,150180820
Bujaru,150190705
Guajará-Açu,150190710
Cachoeira do Piriá,150195605
Cachoeira do Arari,150200405
Cametá,150210305
Carapajó,150210310
Curuçambaba,150210315
Janua Coeli,150210320
Juaba,150210325
Torres do Cupijó,150210336
Vila do Carmo do Tocantins,150210340
Canaã dos Carajás,150215205
Capanema,150220205
Mirasselvas,150220210
Tauari,150220215
Capitão Poço,150230105
Castanhal,150240005
Apeú,150240010
Chaves,150250905
São Sebastião de Viçosa,150250910
Colares,150260805
Conceição do Araguaia,150270705
Concórdia do Pará,150275605
Cumaru do Norte,150276405
Curionópolis,150277205
Curralinho,150280605
Piriá,150280610
Curuá,150285505
Curuçá,150290505
Lauro Sodré,150290520
Murajá,150290525
Ponta de Ramos,150290540
Dom Eliseu,150293905
Eldorado do Carajás,150295405
Faro,150300205
Nova Maracanã,150300208
Floresta do Araguaia,150304405
Bela Vista,150304410
Garrafão do Norte,150307705
Goianésia do Pará,150309305
Gurupá,150310105
Carrazedo,150310110
Itatupã,150310115
Igarapé-Açu,150320005
Caripi,150320010
Igarapé-Miri,150330905
Maiauatá,150330910
Inhangapi,150340805
Ipixuna do Pará,150345705
Irituia,150350705
Itaituba,150360605
Moraes Almeida,150360620
Itupiranga,150370505
Jacareacanga,150375405
Porto Rico,150375420
Jacundá,150380405
Juruti,150390305
Limoeiro do Ajuru,150400005
Mãe do Rio,150405905
Magalhães Barata,150410905
Cafezal,150410910
Marabá,150420805
Maracanã,150430705
Boa Esperança,150430715
São Roberto,150430740
Marapanim,150440605
Marudá,150440610
Matapiquara,150440615
Monte Alegre do Maú,150440620
Marituba,150442205
Medicilândia,150445505
União da Floresta,150445535
Melgaço,150450505
Mocajuba,150460405
São Pedro de Viseu,150460415
Moju,150470305
Cairari,150470310
Mojuí dos Campos,150475205
Monte Alegre,150480205
Muaná,150490105
São Miguel do Pracuúba,150490115
Nova Esperança do Piriá,150495005
Nova Ipixuna,150497605
Nova Timboteua,150500705
Timboteua,150500710
Novo Progresso,150503105
Novo Repartimento,150506405
Belo Monte do Pará,150506410
Maracajá,150506420
Vitória da Conquista,150506440
Óbidos,150510605
Oeiras do Pará,150520505
Oriximiná,150530405
Ourém,150540305
Ourilândia do Norte,150543705
Pacajá,150548605
Palestina do Pará,150549405
Paragominas,150550205
Parauapebas,150553605
Pau D'Arco,150555105
Peixe-Boi,150560105
Tauarizinho,150560110
Piçarra,150563505
Placas,150565005
Ponta de Pedras,150570005
Portel,150580905
Porto de Moz,150590805
Prainha,150600505
Pacoval,150600510
Primavera,150610405
Quatipuru,150611205
Redenção,150613805
Rio Maria,150616105
Rondon do Pará,150618705
Rurópolis,150619505
Divinópolis,150619515
Salinópolis,150620305
Salvaterra,150630205
Condeixa,150630210
Joanes,150630215
Jubim,150630220
Monsarás,150630225
Santa Bárbara do Pará,150635105
Santa Cruz do Arari,150640105
Santa Izabel do Pará,150650005
Americano,150650010
Caraparu,150650015
Santa Luzia do Pará,150655905
Santa Maria das Barreiras,150658305
Casa de Tábua,150658310
Nova Esperança,150658315
Santa Maria do Pará,150660905
Santana do Araguaia,150670805
Santarém,150680705
Alter do Chão,150680710
Boim,150680725
Curuai,150680730
Arapixuna,150680740
Santarém Novo,150690605
Santo Antônio do Tauá,150700305
Espírito Santo do Tauá,150700310
São Raimundo de Borralhos,150700315
São Caetano de Odivelas,150710205
Perseverança,150710210
São Domingos do Araguaia,150715105
São Domingos do Capim,150720105
São Félix do Xingu,150730005
Sudoeste,150730020
Taboca,150730025
Vila Ladeira Vermelha,150730030
Vila Lindoeste,150730035
Vila Nereu,150730040
São Francisco do Pará,150740905
São Geraldo do Araguaia,150745805
São João da Ponta,150746605
São João de Pirabas,150747405
Japerica,150747410
São João do Araguaia,150750805
Apinagés,150750810
São Miguel do Guamá,150760705
Caju,150760710
Urucuri,150760715
Urucuriteua,150760720
São Sebastião da Boa Vista,150770605
Sapucaia,150775505
Senador José Porfírio,150780505
Soure,150790405
Tailândia,150795305
Terra Alta,150796105
Terra Santa,150797905
Tomé-Açu,150800105
Tracuateua,150803505
Trairão,150805005
Tucumã,150808405
Tucuruí,150810005
Ulianópolis,150812605
Uruará,150815905
Alvorada,150815910
Vigia,150820905
Porto Salvo,150820915
Viseu,150830805
Fernandes Belo,150830815
São José do Gurupi,150830820
São José do Piriá,150830825
Vitória do Xingu,150835705
Xinguara,150840705
Serra do Navio,160005505
Cachaço,160005510
Amapá,160010505
Sucuriju,160010515
Pedra Branca do Amapari,160015405
Calçoene,160020405
Cunani,160020410
Lourenço,160020415
Cutias,160021205
Ferreira Gomes,160023805
Itaubal,160025305
Laranjal do Jari,160027905
Macapá,160030305
Bailique,160030310
Carapanantuba,160030311
Fazendinha,160030312
São Joaquim do Pacuí,160030324
Mazagão,160040205
Carvão,160040208
Mazagão Velho,160040215
Oiapoque,160050105
Clevelândia do Norte,160050110
Vila Velha,160050115
Porto Grande,160053505
Pracuúba,160055005
Santana,160060005
Anauerapucu,160060007
Igarapé do Lago,160060010
Ilha de Santana,160060015
Piaçacá,160060020
Pirativa,160060023
Tartarugalzinho,160070905
Vitória do Jari,160080805
Abreulândia,170025105
Aguiarnópolis,170030105
Aliança do Tocantins,170035005
Almas,170040005
Alvorada,170070705
Ananás,170100205
Angico,170105105
Aparecida do Rio Negro,170110105
Aragominas,170130905
Reunidas,170130910
Araguacema,170190305
Araguaçu,170200005
Araguaína,170210905
Araguanã,170215805
Araguatins,170220805
Natal,170220810
Arapoema,170230705
Arraias,170240605
Cana Brava,170240610
Augustinópolis,170255405
Aurora do Tocantins,170270305
Axixá do Tocantins,170290105
Babaçulândia,170300805
Bandeirantes do Tocantins,170305705
Barra do Ouro,170307305
Barrolândia,170310705
Bernardo Sayão,170320605
Bom Jesus do Tocantins,170330505
Brasilândia do Tocantins,170360205
Brejinho de Nazaré,170370105
Buriti do Tocantins,170380005
Cachoeirinha,170382605
Campos Lindos,170384205
Cariri do Tocantins,170386705
Carmolândia,170388305
Carrasco Bonito,170389105
Caseara,170390905
Centenário,170410505
Chapada de Areia,170460005
Chapada da Natividade,170510205
Colinas do Tocantins,170550805
Combinado,170555705
Conceição do Tocantins,170560705
Couto Magalhães,170600105
Cristalândia,170610005
Crixás do Tocantins,170625805
Darcinópolis,170650605
Dianópolis,170700905
Divinópolis do Tocantins,170710805
Dois Irmãos do Tocantins,170720705
Dueré,170730605
Esperantina,170740505
Fátima,170755305
Figueirópolis,170765205
Filadélfia,170770205
Bielândia,170770210
Formoso do Araguaia,170820505
Tabocão,170825405
Goianorte,170830405
Goiatins,170900505
Cartucho,170900510
Craolândia,170900515
Guaraí,170930205
Gurupi,170950005
Ipueiras,170980705
Itacajá,171050805
Itaguatins,171070605
Itapiratins,171090405
Itaporã do Tocantins,171110005
Jaú do Tocantins,171150605
Juarina,171180305
Lagoa da Confusão,171190205
Lagoa do Tocantins,171195105
Lajeado,171200905
Lavandeira,171215705
Lizarda,171240505
Alto Bonito,171240510
Luzinópolis,171245405
Marianópolis do Tocantins,171250405
Mateiros,171270205
Maurilândia do Tocantins,171280105
Miracema do Tocantins,171320505
Miranorte,171330405
Monte do Carmo,171360105
Monte Santo do Tocantins,171370005
Palmeiras do Tocantins,171380905
Muricilândia,171395705
Natividade,171420305
Príncipe,171420320
Nazaré,171430205
Nova Olinda,171488005
Nova Rosalândia,171500205
Novo Acordo,171510105
Novo Alegre,171515005
Novo Jardim,171525905
Oliveira de Fátima,171550705
Palmeirante,171570505
Palmeirópolis,171575405
Paraíso do Tocantins,171610905
Paranã,171620805
Campo Alegre,171620815
Pau D'Arco,171630705
Pedro Afonso,171650505
Peixe,171660405
Pequizeiro,171665305
Colméia,171670305
Pindorama do Tocantins,171700805
Piraquê,171720605
Pium,171750305
Ponte Alta do Bom Jesus,171780005
Ponte Alta do Tocantins,171790905
Porto Alegre do Tocantins,171800605
Porto Nacional,171820405
Luzimangues,171820425
Praia Norte,171830305
Presidente Kennedy,171840205
Pugmil,171845105
Recursolândia,171850105
Riachinho,171855005
Rio da Conceição,171865905
Rio dos Bois,171870905
Rio Sono,171875805
Sampaio,171880805
Sandolândia,171884005
Santa Fé do Araguaia,171886505
Santa Maria do Tocantins,171888105
Santa Rita do Tocantins,171889905
Santa Rosa do Tocantins,171890705
Cangas,171890710
Morro de São João,171890715
Santa Tereza do Tocantins,171900405
Santa Terezinha do Tocantins,172000205
São Bento do Tocantins,172010105
São Félix do Tocantins,172015005
São Miguel do Tocantins,172020005
São Salvador do Tocantins,172025905
São Sebastião do Tocantins,172030905
São Valério,172049905
Silvanópolis,172065505
Sítio Novo do Tocantins,172080405
Sucupira,172085305
Taguatinga,172090305
Taipas do Tocantins,172093705
Talismã,172097805
Palmas,172100005
Buritirana,172100008
Taquaruçu,172100015
Tocantínia,172110905
Tocantinópolis,172120805
Tupirama,172125705
Tupiratins,172130705
Wanderlândia,172208105
Xambioá,172210705
Açailândia,210005505
Afonso Cunha,210010505
Água Doce do Maranhão,210015405
Alcântara,210020405
Aldeias Altas,210030305
Altamira do Maranhão,210040205
Alto Alegre do Maranhão,210043605
Alto Alegre do Pindaré,210047705
Alto Parnaíba,210050105
Curupá,210050110
Amapá do Maranhão,210055005
Amarante do Maranhão,210060005
Anajatuba,210070905
Anapurus,210080805
Apicum-Açu,210083205
Araguanã,210087305
Araioses,210090705
Arame,210095605
Arari,210100405
Axixá,210110305
Bacabal,210120205
Bacabeira,210125105
Bacuri,210130105
Bacurituba,210135005
Balsas,210140005
Barão de Grajaú,210150905
Barra do Corda,210160805
Barreirinhas,210170705
Belágua,210173105
Bela Vista do Maranhão,210177205
Benedito Leite,210180605
Bequimão,210190505
Bernardo do Mearim,210193905
Boa Vista do Gurupi,210197005
Bom Jardim,210200205
Bom Jesus das Selvas,210203605
Bom Lugar,210207705
Brejo,210210105
Brejo de Areia,210215005
Buriti,210220005
Buriti Bravo,210230905
Buriticupu,210232505
Buritirana,210235805
Cachoeira Grande,210237405
Cajapió,210240805
Cajari,210250705
